genbank_accession	gisaid_epi_isl
MT831771.1	EPI_ISL_497249
MT831772.1	EPI_ISL_497333
MT831773.1	EPI_ISL_497011
MT831774.1	EPI_ISL_496995
MT831775.1	EPI_ISL_497157
MT831776.1	EPI_ISL_496994
MT831777.1	EPI_ISL_496980
MT831778.1	EPI_ISL_497016
MT831779.1	EPI_ISL_497106
MT831780.1	EPI_ISL_497251
MT831781.1	EPI_ISL_497225
MT831782.1	EPI_ISL_496932
MT831783.1	EPI_ISL_497285
MT831784.1	EPI_ISL_497335
MT831785.1	EPI_ISL_497164
MT831786.1	EPI_ISL_497274
MT831787.1	EPI_ISL_497218
MT831788.1	EPI_ISL_497136
MT831789.1	EPI_ISL_497097
MT831790.1	EPI_ISL_497034
MT831791.1	EPI_ISL_497318
MT831792.1	EPI_ISL_497282
MT831793.1	EPI_ISL_496996
MT831794.1	EPI_ISL_497266
MT831795.1	EPI_ISL_496974
MT831796.1	EPI_ISL_497262
MT831798.1	EPI_ISL_497202
MT831799.1	EPI_ISL_497234
MT831800.1	EPI_ISL_497236
MT831801.1	EPI_ISL_497188
MT831802.1	EPI_ISL_497291
MT831804.1	EPI_ISL_496981
MT831805.1	EPI_ISL_497146
MT831806.1	EPI_ISL_497280
MT831807.1	EPI_ISL_497098
MT831808.1	EPI_ISL_497022
MT831809.1	EPI_ISL_497003
MT831810.1	EPI_ISL_497284
MT831811.1	EPI_ISL_497270
MT831812.1	EPI_ISL_497144
MT831813.1	EPI_ISL_497004
MT831814.1	EPI_ISL_497167
MT831815.1	EPI_ISL_496967
MT831816.1	EPI_ISL_497103
MT831817.1	EPI_ISL_497320
MT831818.1	EPI_ISL_497273
MT831819.1	EPI_ISL_496992
MT831820.1	EPI_ISL_497201
MT831821.1	EPI_ISL_497121
MT831822.1	EPI_ISL_497311
MT831824.1	EPI_ISL_497250
MT831825.1	EPI_ISL_497013
MT831826.1	EPI_ISL_496936
MT831827.1	EPI_ISL_497156
MT831828.1	EPI_ISL_496949
MT831829.1	EPI_ISL_497018
MT831830.1	EPI_ISL_497105
MT831831.1	EPI_ISL_497239
MT831832.1	EPI_ISL_496964
MT831833.1	EPI_ISL_497032
MT831834.1	EPI_ISL_497267
MT831835.1	EPI_ISL_497271
MT831836.1	EPI_ISL_497276
MT831837.1	EPI_ISL_496999
MT831838.1	EPI_ISL_496943
MT831839.1	EPI_ISL_497199
MT831840.1	EPI_ISL_497205
MT831841.1	EPI_ISL_497092
MT831842.1	EPI_ISL_497152
MT831843.1	EPI_ISL_497090
MT831844.1	EPI_ISL_496998
MT831845.1	EPI_ISL_497030
MT831846.1	EPI_ISL_497283
MT831847.1	EPI_ISL_497145
MT831848.1	EPI_ISL_497074
MT831849.1	EPI_ISL_497309
MT831850.1	EPI_ISL_497197
MT831851.1	EPI_ISL_497277
MT831852.1	EPI_ISL_497238
MT831853.1	EPI_ISL_497310
MT831854.1	EPI_ISL_497278
MT831855.1	EPI_ISL_497198
MT831856.1	EPI_ISL_496976
MT831857.1	EPI_ISL_497193
MT831858.1	EPI_ISL_497143
MT831859.1	EPI_ISL_497230
MT831861.1	EPI_ISL_496960
MT831862.1	EPI_ISL_497133
MT831863.1	EPI_ISL_497071
MT831864.1	EPI_ISL_497053
MT831865.1	EPI_ISL_497043
MT831867.1	EPI_ISL_497206
MT831868.1	EPI_ISL_497081
MT831869.1	EPI_ISL_497025
MT831870.1	EPI_ISL_497313
MT831871.1	EPI_ISL_497002
MT831872.1	EPI_ISL_497233
MT831873.1	EPI_ISL_497295
MT831874.1	EPI_ISL_496942
MT831875.1	EPI_ISL_497228
MT831876.1	EPI_ISL_497027
MT831877.1	EPI_ISL_497096
MT831878.1	EPI_ISL_497312
MT831879.1	EPI_ISL_497220
MT831881.1	EPI_ISL_497052
MT831882.1	EPI_ISL_497204
MT831883.1	EPI_ISL_497019
MT831884.1	EPI_ISL_497177
MT831885.1	EPI_ISL_497182
MT831886.1	EPI_ISL_497028
MT831887.1	EPI_ISL_497078
MT831888.1	EPI_ISL_497187
MT831889.1	EPI_ISL_497086
MT831890.1	EPI_ISL_497087
MT831891.1	EPI_ISL_497075
MT831892.1	EPI_ISL_497037
MT831893.1	EPI_ISL_497227
MT831894.1	EPI_ISL_497191
MT831895.1	EPI_ISL_497069
MT831896.1	EPI_ISL_497083
MT831897.1	EPI_ISL_497048
MT831898.1	EPI_ISL_497021
MT831899.1	EPI_ISL_497093
MT831900.1	EPI_ISL_496979
MT833957.1	EPI_ISL_496109
MT833958.1	EPI_ISL_496278
MT833960.1	EPI_ISL_496017
MT833961.1	EPI_ISL_496255
MT833962.1	EPI_ISL_496009
MT833963.1	EPI_ISL_496198
MT833964.1	EPI_ISL_496013
MT833965.1	EPI_ISL_495977
MT833966.1	EPI_ISL_496106
MT833967.1	EPI_ISL_496307
MT833968.1	EPI_ISL_496079
MT833969.1	EPI_ISL_496273
MT833970.1	EPI_ISL_496284
MT833971.1	EPI_ISL_496093
MT833972.1	EPI_ISL_496129
MT833973.1	EPI_ISL_496189
MT833974.1	EPI_ISL_495936
MT833975.1	EPI_ISL_496253
MT833976.1	EPI_ISL_496080
MT833977.1	EPI_ISL_496279
MT833978.1	EPI_ISL_495997
MT833979.1	EPI_ISL_496122
MT833980.1	EPI_ISL_495954
MT833981.1	EPI_ISL_495979
MT833982.1	EPI_ISL_496053
MT833983.1	EPI_ISL_496247
MT833984.1	EPI_ISL_496254
MT833985.1	EPI_ISL_496000
MT833986.1	EPI_ISL_496026
MT833987.1	EPI_ISL_496231
MT833988.1	EPI_ISL_496135
MT833989.1	EPI_ISL_496115
MT833990.1	EPI_ISL_496108
MT833991.1	EPI_ISL_496174
MT833992.1	EPI_ISL_496039
MT833993.1	EPI_ISL_496054
MT833994.1	EPI_ISL_496142
MT833995.1	EPI_ISL_496236
MT833996.1	EPI_ISL_496177
MT833997.1	EPI_ISL_495924
MT833998.1	EPI_ISL_496219
MT833999.1	EPI_ISL_495987
MT834000.1	EPI_ISL_496308
MT834002.1	EPI_ISL_496248
MT834003.1	EPI_ISL_496083
MT834004.1	EPI_ISL_496056
MT834005.1	EPI_ISL_496006
MT834006.1	EPI_ISL_496050
MT834007.1	EPI_ISL_495978
MT834008.1	EPI_ISL_495972
MT834009.1	EPI_ISL_496160
MT834010.1	EPI_ISL_496141
MT834011.1	EPI_ISL_496283
MT834012.1	EPI_ISL_496019
MT834013.1	EPI_ISL_496188
MT834014.1	EPI_ISL_496097
MT834015.1	EPI_ISL_496320
MT834016.1	EPI_ISL_496215
MT834017.1	EPI_ISL_496304
MT834018.1	EPI_ISL_496152
MT834019.1	EPI_ISL_496005
MT834020.1	EPI_ISL_495974
MT834021.1	EPI_ISL_496104
MT834022.1	EPI_ISL_496191
MT834023.1	EPI_ISL_496303
MT834024.1	EPI_ISL_496266
MT834025.1	EPI_ISL_496078
MT834026.1	EPI_ISL_496282
MT834027.1	EPI_ISL_496151
MT834028.1	EPI_ISL_496332
MT834029.1	EPI_ISL_496212
MT834030.1	EPI_ISL_496025
MT834031.1	EPI_ISL_496161
MT834032.1	EPI_ISL_496016
MT834033.1	EPI_ISL_496105
MT834034.1	EPI_ISL_496234
MT834035.1	EPI_ISL_496335
MT834036.1	EPI_ISL_496144
MT834037.1	EPI_ISL_496202
MT834038.1	EPI_ISL_495988
MT834039.1	EPI_ISL_496337
MT834040.1	EPI_ISL_496123
MT834041.1	EPI_ISL_496038
MT834042.1	EPI_ISL_496211
MT834043.1	EPI_ISL_496007
MT834044.1	EPI_ISL_496157
MT834045.1	EPI_ISL_495944
MT834046.1	EPI_ISL_496173
MT834047.1	EPI_ISL_496034
MT834048.1	EPI_ISL_496103
MT834049.1	EPI_ISL_496052
MT834050.1	EPI_ISL_496267
MT834051.1	EPI_ISL_495990
MT834052.1	EPI_ISL_495918
MT834053.1	EPI_ISL_496223
MT834054.1	EPI_ISL_496281
MT834055.1	EPI_ISL_496049
MT834056.1	EPI_ISL_496131
MT834057.1	EPI_ISL_496112
MT834058.1	EPI_ISL_496214
MT834059.1	EPI_ISL_496057
MT834060.1	EPI_ISL_496270
MT834061.1	EPI_ISL_495930
MT834062.1	EPI_ISL_495931
MT834063.1	EPI_ISL_495967
MT834064.1	EPI_ISL_496194
MT834065.1	EPI_ISL_496146
MT834066.1	EPI_ISL_496118
MT834067.1	EPI_ISL_496209
MT834068.1	EPI_ISL_496147
MT834069.1	EPI_ISL_495920
MT834070.1	EPI_ISL_496324
MT834071.1	EPI_ISL_496199
MT834072.1	EPI_ISL_495985
MT834073.1	EPI_ISL_496208
MT834074.1	EPI_ISL_496325
MT834075.1	EPI_ISL_496126
MT834076.1	EPI_ISL_496318
MT834077.1	EPI_ISL_495999
MT834078.1	EPI_ISL_496148
MT834079.1	EPI_ISL_496149
MT834080.1	EPI_ISL_496260
MT834081.1	EPI_ISL_496010
MT834082.1	EPI_ISL_496258
MT834083.1	EPI_ISL_496306
MT834084.1	EPI_ISL_496195
MT834086.1	EPI_ISL_496239
MT834087.1	EPI_ISL_496316
MT834088.1	EPI_ISL_496229
MT834089.1	EPI_ISL_496145
MT834090.1	EPI_ISL_496186
MT834091.1	EPI_ISL_495970
MT834093.1	EPI_ISL_496220
MT834094.1	EPI_ISL_496087
MT834095.1	EPI_ISL_496187
MT834096.1	EPI_ISL_496311
MT834097.1	EPI_ISL_496285
MT834098.1	EPI_ISL_495933
MT834099.1	EPI_ISL_496099
MT834100.1	EPI_ISL_496032
MT834101.1	EPI_ISL_496117
MT834102.1	EPI_ISL_495995
MT834103.1	EPI_ISL_496183
MT834104.1	EPI_ISL_496098
MT834105.1	EPI_ISL_496256
MT834106.1	EPI_ISL_496224
MT834107.1	EPI_ISL_496140
MT834108.1	EPI_ISL_496096
MT834109.1	EPI_ISL_496338
MT834110.1	EPI_ISL_496128
MT834111.1	EPI_ISL_496294
MT834112.1	EPI_ISL_496312
MT834113.1	EPI_ISL_495940
MT834114.1	EPI_ISL_496040
MT834115.1	EPI_ISL_496269
MT834116.1	EPI_ISL_496179
MT834117.1	EPI_ISL_496002
MT834118.1	EPI_ISL_496246
MT834119.1	EPI_ISL_496243
MT834120.1	EPI_ISL_496027
MT834121.1	EPI_ISL_495993
MT834123.1	EPI_ISL_496233
MT834124.1	EPI_ISL_496085
MT834125.1	EPI_ISL_496102
MT834126.1	EPI_ISL_496264
MT834127.1	EPI_ISL_495919
MT834128.1	EPI_ISL_496088
MT834129.1	EPI_ISL_495986
MT834130.1	EPI_ISL_496055
MT834131.1	EPI_ISL_496262
MT834132.1	EPI_ISL_496138
MT834133.1	EPI_ISL_496235
MT834134.1	EPI_ISL_496265
MT834135.1	EPI_ISL_496305
MT834136.1	EPI_ISL_496081
MT834137.1	EPI_ISL_496012
MT834138.1	EPI_ISL_495923
MT834139.1	EPI_ISL_496180
MT834141.1	EPI_ISL_496175
MT834142.1	EPI_ISL_496045
MT834143.1	EPI_ISL_496092
MT834144.1	EPI_ISL_496021
MT834145.1	EPI_ISL_496047
MT834146.1	EPI_ISL_495983
MT834147.1	EPI_ISL_496008
MT834148.1	EPI_ISL_496094
MT834149.1	EPI_ISL_495949
MT834150.1	EPI_ISL_496297
MT834151.1	EPI_ISL_495928
MT834152.1	EPI_ISL_495956
MT834153.1	EPI_ISL_496028
MT834154.1	EPI_ISL_496125
MT834155.1	EPI_ISL_495921
MT834156.1	EPI_ISL_495952
MT834157.1	EPI_ISL_496310
MT834158.1	EPI_ISL_496322
MT834159.1	EPI_ISL_496196
MT834160.1	EPI_ISL_496237
MT834161.1	EPI_ISL_496001
MT834162.1	EPI_ISL_496136
MT834163.1	EPI_ISL_495922
MT834164.1	EPI_ISL_496114
MT834165.1	EPI_ISL_496257
MT834166.1	EPI_ISL_496222
MT834167.1	EPI_ISL_496203
MT834168.1	EPI_ISL_495963
MT834169.1	EPI_ISL_496113
MT834170.1	EPI_ISL_495938
MT834171.1	EPI_ISL_496181
MT834172.1	EPI_ISL_496252
MT834173.1	EPI_ISL_495955
MT834174.1	EPI_ISL_496024
MT834175.1	EPI_ISL_496275
MT834176.1	EPI_ISL_496003
MT834177.1	EPI_ISL_496317
MT834178.1	EPI_ISL_496153
MT834179.1	EPI_ISL_495942
MT834180.1	EPI_ISL_496031
MT834181.1	EPI_ISL_496327
MT834182.1	EPI_ISL_495996
MT834183.1	EPI_ISL_496048
MT834184.1	EPI_ISL_496334
MT834186.1	EPI_ISL_496134
MT834187.1	EPI_ISL_496241
MT834188.1	EPI_ISL_496197
MT834189.1	EPI_ISL_496058
MT834190.1	EPI_ISL_496119
MT834191.1	EPI_ISL_496280
MT834192.1	EPI_ISL_496124
MT834193.1	EPI_ISL_496319
MT834194.1	EPI_ISL_496095
MT834195.1	EPI_ISL_495984
MT834196.1	EPI_ISL_496232
MT834197.1	EPI_ISL_496139
MT834198.1	EPI_ISL_496029
MT834199.1	EPI_ISL_496274
MT834200.1	EPI_ISL_496201
MT834201.1	EPI_ISL_496090
MT834202.1	EPI_ISL_495971
MT834203.1	EPI_ISL_496036
MT834204.1	EPI_ISL_496249
MT834205.1	EPI_ISL_496172
MT834206.1	EPI_ISL_496014
MT834207.1	EPI_ISL_496192
MT834208.1	EPI_ISL_496150
MT834209.1	EPI_ISL_495962
MT834211.1	EPI_ISL_495975
MT834212.1	EPI_ISL_496176
MT834213.1	EPI_ISL_495932
MT834214.1	EPI_ISL_496184
MT834216.1	EPI_ISL_496004
MT834217.1	EPI_ISL_496116
MT834218.1	EPI_ISL_496238
MT834219.1	EPI_ISL_495951
MT834220.1	EPI_ISL_496298
MT834221.1	EPI_ISL_496240
MT834222.1	EPI_ISL_496225
MT834223.1	EPI_ISL_496244
MT834224.1	EPI_ISL_496120
MT834225.1	EPI_ISL_496326
MT834227.1	EPI_ISL_495927
MT834228.1	EPI_ISL_496163
MT834229.1	EPI_ISL_496277
MT834230.1	EPI_ISL_496200
MT834231.1	EPI_ISL_496193
MT834232.1	EPI_ISL_495943
MT834233.1	EPI_ISL_496276
MT834234.1	EPI_ISL_496143
MT834235.1	EPI_ISL_496023
MT834237.1	EPI_ISL_496250
MT834238.1	EPI_ISL_496159
MT834239.1	EPI_ISL_496226
MT834240.1	EPI_ISL_496072
MT834241.1	EPI_ISL_495959
MT834242.1	EPI_ISL_496329
MT834243.1	EPI_ISL_496018
MT834244.1	EPI_ISL_496207
MT834245.1	EPI_ISL_496156
MT834246.1	EPI_ISL_496289
MT834247.1	EPI_ISL_495929
MT834248.1	EPI_ISL_495973
MT834249.1	EPI_ISL_496315
MT834250.1	EPI_ISL_496299
MT834251.1	EPI_ISL_496155
MT834252.1	EPI_ISL_496336
MT834253.1	EPI_ISL_496101
MT834254.1	EPI_ISL_496030
MT834255.1	EPI_ISL_496182
MT834256.1	EPI_ISL_496111
MT834257.1	EPI_ISL_496185
MT834258.1	EPI_ISL_496164
MT834259.1	EPI_ISL_496042
MT834260.1	EPI_ISL_496133
MT834261.1	EPI_ISL_496286
MT834262.1	EPI_ISL_496221
MT834263.1	EPI_ISL_495981
MT834264.1	EPI_ISL_496323
MT834265.1	EPI_ISL_496127
MT834266.1	EPI_ISL_496296
MT834267.1	EPI_ISL_496071
MT834268.1	EPI_ISL_496216
MT834269.1	EPI_ISL_496210
MT834270.1	EPI_ISL_496110
MT834271.1	EPI_ISL_496154
MT834272.1	EPI_ISL_495991
MT834273.1	EPI_ISL_496301
MT834274.1	EPI_ISL_496178
MT834275.1	EPI_ISL_496100
MT834276.1	EPI_ISL_496043
MT834277.1	EPI_ISL_496217
MT834278.1	EPI_ISL_496204
MT834279.1	EPI_ISL_496168
MT834280.1	EPI_ISL_495980
MT834281.1	EPI_ISL_496321
MT834282.1	EPI_ISL_495950
MT834283.1	EPI_ISL_495925
MT834284.1	EPI_ISL_496272
MT834285.1	EPI_ISL_495989
MT834286.1	EPI_ISL_495947
MT834287.1	EPI_ISL_496011
MT834288.1	EPI_ISL_495998
MT834289.1	EPI_ISL_495965
MT834290.1	EPI_ISL_496295
MT834291.1	EPI_ISL_496190
MT834292.1	EPI_ISL_496158
MT834293.1	EPI_ISL_495966
MT834294.1	EPI_ISL_495937
MT834295.1	EPI_ISL_496132
MT834296.1	EPI_ISL_496268
MT834297.1	EPI_ISL_496228
MT834298.1	EPI_ISL_496290
MT834299.1	EPI_ISL_496245
MT834300.1	EPI_ISL_496288
MT834301.1	EPI_ISL_495992
MT834302.1	EPI_ISL_496044
MT834303.1	EPI_ISL_496271
MT834304.1	EPI_ISL_496206
MT834305.1	EPI_ISL_496064
MT834306.1	EPI_ISL_495934
MT834307.1	EPI_ISL_495982
MT834308.1	EPI_ISL_496165
MT834309.1	EPI_ISL_496169
MT834310.1	EPI_ISL_496263
MT834311.1	EPI_ISL_496333
MT834312.1	EPI_ISL_496287
MT834313.1	EPI_ISL_496070
MT834315.1	EPI_ISL_496076
MT834316.1	EPI_ISL_496130
MT834317.1	EPI_ISL_496242
MT834319.1	EPI_ISL_496167
MT834320.1	EPI_ISL_496302
MT834321.1	EPI_ISL_496084
MT834322.1	EPI_ISL_496077
MT834323.1	EPI_ISL_496259
MT834324.1	EPI_ISL_496331
MT834325.1	EPI_ISL_496166
MT834326.1	EPI_ISL_496086
MT834327.1	EPI_ISL_496059
MT834328.1	EPI_ISL_496091
MT834329.1	EPI_ISL_496073
MT834330.1	EPI_ISL_495935
MT834331.1	EPI_ISL_496292
MT834332.1	EPI_ISL_495957
MT834333.1	EPI_ISL_495917
MT834334.1	EPI_ISL_495945
MT834335.1	EPI_ISL_496063
MT834336.1	EPI_ISL_496291
MT834337.1	EPI_ISL_496171
MT834338.1	EPI_ISL_496067
MT834339.1	EPI_ISL_496213
MT834340.1	EPI_ISL_495953
MT834341.1	EPI_ISL_496060
MT834342.1	EPI_ISL_495941
MT834343.1	EPI_ISL_496082
MT834344.1	EPI_ISL_496062
MT834345.1	EPI_ISL_496227
MT834346.1	EPI_ISL_495958
MT834347.1	EPI_ISL_495926
MT834348.1	EPI_ISL_496205
MT834350.1	EPI_ISL_496066
MT834351.1	EPI_ISL_496293
MT834352.1	EPI_ISL_496314
MT834353.1	EPI_ISL_496061
MT834354.1	EPI_ISL_496313
MT834355.1	EPI_ISL_496074
MT834356.1	EPI_ISL_496261
MT834357.1	EPI_ISL_496068
MT834358.1	EPI_ISL_496065
MT834359.1	EPI_ISL_496069
MT834360.1	EPI_ISL_496046
MT834361.1	EPI_ISL_495994
MT834606.1	EPI_ISL_508763
MT834607.1	EPI_ISL_508765
MT834608.1	EPI_ISL_508766
MT834609.1	EPI_ISL_508767
MT834610.1	EPI_ISL_508768
MT834611.1	EPI_ISL_508769
MT834612.1	EPI_ISL_508770
MT834613.1	EPI_ISL_508771
MT834614.1	EPI_ISL_508772
MT834615.1	EPI_ISL_508773
MT834616.1	EPI_ISL_508774
MT834617.1	EPI_ISL_508775
MT834618.1	EPI_ISL_508776
MT834619.1	EPI_ISL_508777
MT834620.1	EPI_ISL_508778
MT834621.1	EPI_ISL_508779
MT834622.1	EPI_ISL_508780
MT834623.1	EPI_ISL_508781
MT834624.1	EPI_ISL_508782
MT834625.1	EPI_ISL_508743
MT834626.1	EPI_ISL_508744
MT834627.1	EPI_ISL_508783
MT834628.1	EPI_ISL_508784
MT834629.1	EPI_ISL_508785
MT834630.1	EPI_ISL_508786
MT834631.1	EPI_ISL_508787
MT834632.1	EPI_ISL_508788
MT834633.1	EPI_ISL_508789
MT834634.1	EPI_ISL_508790
MT834635.1	EPI_ISL_508791
MT834636.1	EPI_ISL_508792
MT834637.1	EPI_ISL_508793
MT834638.1	EPI_ISL_508794
MT834639.1	EPI_ISL_508795
MT834640.1	EPI_ISL_508796
MT834641.1	EPI_ISL_508797
MT834642.1	EPI_ISL_508798
MT834643.1	EPI_ISL_508799
MT834644.1	EPI_ISL_508800
MT834645.1	EPI_ISL_508801
MT834646.1	EPI_ISL_508802
MT834647.1	EPI_ISL_508803
MT834648.1	EPI_ISL_508804
MT834649.1	EPI_ISL_508805
MT834650.1	EPI_ISL_508806
MT834651.1	EPI_ISL_508807
MT834652.1	EPI_ISL_508745
MT834653.1	EPI_ISL_508746
MT834654.1	EPI_ISL_508747
MT834655.1	EPI_ISL_508748
MT834656.1	EPI_ISL_508749
MT834657.1	EPI_ISL_508750
MT834658.1	EPI_ISL_508751
MT834659.1	EPI_ISL_508752
MT834660.1	EPI_ISL_508753
MT834661.1	EPI_ISL_508754
MT834662.1	EPI_ISL_508755
MT834663.1	EPI_ISL_508708
MT834664.1	EPI_ISL_508709
MT834665.1	EPI_ISL_508710
MT834666.1	EPI_ISL_508711
MT834667.1	EPI_ISL_508712
MT834668.1	EPI_ISL_508713
MT834669.1	EPI_ISL_508714
MT834670.1	EPI_ISL_508715
MT834671.1	EPI_ISL_508716
MT834672.1	EPI_ISL_508717
MT834673.1	EPI_ISL_508718
MT834674.1	EPI_ISL_508719
MT834675.1	EPI_ISL_508720
MT834676.1	EPI_ISL_508721
MT834677.1	EPI_ISL_508722
MT834678.1	EPI_ISL_508723
MT834679.1	EPI_ISL_508724
MT834680.1	EPI_ISL_508725
MT834681.1	EPI_ISL_508726
MT834682.1	EPI_ISL_508727
MT834683.1	EPI_ISL_508728
MT834684.1	EPI_ISL_508729
MT834685.1	EPI_ISL_508730
MT834686.1	EPI_ISL_508731
MT834687.1	EPI_ISL_508732
MT834688.1	EPI_ISL_508733
MT834689.1	EPI_ISL_508734
MT834690.1	EPI_ISL_508735
MT834691.1	EPI_ISL_508736
MT834692.1	EPI_ISL_508737
MT834693.1	EPI_ISL_508756
MT834694.1	EPI_ISL_508757
MT834695.1	EPI_ISL_508758
MT834696.1	EPI_ISL_508759
MT834697.1	EPI_ISL_508760
MT834698.1	EPI_ISL_508761
MT834699.1	EPI_ISL_508762
MT834700.1	EPI_ISL_508738
MT834701.1	EPI_ISL_508739
MT834702.1	EPI_ISL_508808
MT834703.1	EPI_ISL_508809
MT834704.1	EPI_ISL_508810
MT834705.1	EPI_ISL_508811
MT834706.1	EPI_ISL_508812
MT834707.1	EPI_ISL_508813
MT834708.1	EPI_ISL_508814
MT834709.1	EPI_ISL_508815
MT834710.1	EPI_ISL_508816
MT834711.1	EPI_ISL_508817
MT834712.1	EPI_ISL_508818
MT834713.1	EPI_ISL_508819
MT834714.1	EPI_ISL_508820
MT834715.1	EPI_ISL_508821
MT834716.1	EPI_ISL_508822
MT834717.1	EPI_ISL_508823
MT834718.1	EPI_ISL_508824
MT834719.1	EPI_ISL_508825
MT834720.1	EPI_ISL_508826
MT834721.1	EPI_ISL_508827
MT834722.1	EPI_ISL_508828
MT834723.1	EPI_ISL_508829
MT834724.1	EPI_ISL_508830
MT834725.1	EPI_ISL_508831
MT834728.1	EPI_ISL_508834
MT834729.1	EPI_ISL_508835
MT834730.1	EPI_ISL_508836
MT834731.1	EPI_ISL_508837
MT834732.1	EPI_ISL_508838
MT834733.1	EPI_ISL_508839
MT834734.1	EPI_ISL_508840
MT834735.1	EPI_ISL_508841
MT834736.1	EPI_ISL_508842
MT834737.1	EPI_ISL_508843
MT834738.1	EPI_ISL_508844
MT834739.1	EPI_ISL_508845
MT834740.1	EPI_ISL_508846
MT834741.1	EPI_ISL_508847
MT834742.1	EPI_ISL_508848
MT834743.1	EPI_ISL_508849
MT834744.1	EPI_ISL_508850
MT834745.1	EPI_ISL_508851
MT834746.1	EPI_ISL_508852
MT834747.1	EPI_ISL_508853
MT834748.1	EPI_ISL_508854
MT834749.1	EPI_ISL_508855
MT834750.1	EPI_ISL_508856
MT834751.1	EPI_ISL_508857
MT834752.1	EPI_ISL_508858
MT834753.1	EPI_ISL_508859
MT834754.1	EPI_ISL_508860
MT834755.1	EPI_ISL_508861
MT835026.1	EPI_ISL_529139
MT835027.1	EPI_ISL_529140
MT835383.1	EPI_ISL_510536
MT840184.1	EPI_ISL_542486
MT843285.1	EPI_ISL_522824
MT843286.1	EPI_ISL_522825
MT843287.1	EPI_ISL_522826
MT843288.1	EPI_ISL_522827
MT843289.1	EPI_ISL_522828
MT843290.1	EPI_ISL_522829
MT843291.1	EPI_ISL_522830
MT843292.1	EPI_ISL_522831
MT843293.1	EPI_ISL_522832
MT843294.1	EPI_ISL_522833
MT843295.1	EPI_ISL_522834
MT843296.1	EPI_ISL_522835
MT843297.1	EPI_ISL_522836
MT843298.1	EPI_ISL_522837
MT843299.1	EPI_ISL_522838
MT843300.1	EPI_ISL_522839
MT843301.1	EPI_ISL_522840
MT843302.1	EPI_ISL_522841
MT843303.1	EPI_ISL_522842
MT843304.1	EPI_ISL_522843
MT843305.1	EPI_ISL_522844
MT843306.1	EPI_ISL_522845
MT843307.1	EPI_ISL_522846
MT843308.1	EPI_ISL_522847
MT843309.1	EPI_ISL_522848
MT843310.1	EPI_ISL_522849
MT843311.1	EPI_ISL_522850
MT843312.1	EPI_ISL_522851
MT843313.1	EPI_ISL_522852
MT843314.1	EPI_ISL_522853
MT843315.1	EPI_ISL_522854
MT843316.1	EPI_ISL_522869
MT843317.1	EPI_ISL_522870
MT843318.1	EPI_ISL_522871
MT843319.1	EPI_ISL_529167
MT843320.1	EPI_ISL_529168
MT843324.1	EPI_ISL_510537
MT843737.1	EPI_ISL_509662
MT843738.1	EPI_ISL_509663
MT843739.1	EPI_ISL_509665
MT843740.1	EPI_ISL_509679
MT843741.1	EPI_ISL_509680
MT843742.1	EPI_ISL_509667
MT843743.1	EPI_ISL_509681
MT843744.1	EPI_ISL_509682
MT843745.1	EPI_ISL_509670
MT843746.1	EPI_ISL_509675
MT843747.1	EPI_ISL_509671
MT843748.1	EPI_ISL_509672
MT843749.1	EPI_ISL_509673
MT843750.1	EPI_ISL_509674
MT843751.1	EPI_ISL_509676
MT843752.1	EPI_ISL_509678
MT843753.1	EPI_ISL_509677
MT843754.1	EPI_ISL_509668
MT843755.1	EPI_ISL_509664
MT843756.1	EPI_ISL_509666
MT843757.1	EPI_ISL_509683
MT843758.1	EPI_ISL_509684
MT843759.1	EPI_ISL_509685
MT844021.1	EPI_ISL_509709
MT844022.1	EPI_ISL_509715
MT844023.1	EPI_ISL_509711
MT844024.1	EPI_ISL_509712
MT844025.1	EPI_ISL_509707
MT844026.1	EPI_ISL_509713
MT844027.1	EPI_ISL_509714
MT844028.1	EPI_ISL_509708
MT844029.1	EPI_ISL_509710
MT844030.1	EPI_ISL_510541
MT844031.1	EPI_ISL_509698
MT844032.1	EPI_ISL_509699
MT844033.1	EPI_ISL_509700
MT844034.1	EPI_ISL_509701
MT844035.1	EPI_ISL_509690
MT844036.1	EPI_ISL_509702
MT844037.1	EPI_ISL_509691
MT844038.1	EPI_ISL_509703
MT844039.1	EPI_ISL_509704
MT844040.1	EPI_ISL_509692
MT844041.1	EPI_ISL_509693
MT844042.1	EPI_ISL_509705
MT844043.1	EPI_ISL_509694
MT844044.1	EPI_ISL_509688
MT844045.1	EPI_ISL_509689
MT844046.1	EPI_ISL_509706
MT844047.1	EPI_ISL_509695
MT844048.1	EPI_ISL_509696
MT844049.1	EPI_ISL_509697
MT845877.1	EPI_ISL_525472
MT845878.1	EPI_ISL_525473
MT846004.1	EPI_ISL_498793
MT846005.1	EPI_ISL_498794
MT846007.1	EPI_ISL_498796
MT846008.1	EPI_ISL_498797
MT846009.1	EPI_ISL_498800
MT846010.1	EPI_ISL_498801
MT846011.1	EPI_ISL_498802
MT846012.1	EPI_ISL_498803
MT846013.1	EPI_ISL_498804
MT846014.1	EPI_ISL_498805
MT846015.1	EPI_ISL_498806
MT846413.1	EPI_ISL_509776
MT846414.1	EPI_ISL_509777
MT846415.1	EPI_ISL_509778
MT846416.1	EPI_ISL_509779
MT846417.1	EPI_ISL_509780
MT846418.1	EPI_ISL_509781
MT846419.1	EPI_ISL_509782
